subject_taxon_id,target_scientific_name,target_common_name,target_taxon_id,interaction
47162,Oncorhynchus nerka,Sockeye Salmon,69922,preysOn
47162,Oncorhynchus tshawytscha,Chinook Salmon,54191,preysOn
47162,Philopedon plagiatum,,455997,preyedUponBy
49487,Lepidoptera,Butterflies and Moths,47157,pollinatedBy
49487,Trochilidae,Hummingbirds,5562,pollinatedBy
49487,Analeptura lineola,,84482,preyedUponBy
82095,Xylocopa virginica,Eastern Carpenter Bee,51110,eatenBy
82095,Bombus bimaculatus,Two-spotted Bumble Bee,52779,eatenBy
82095,Bombus diversus,Diverse Bumble Bee,359320,pollinatedBy
82095,Bombus consobrinus ,Cousinly Bumble Bee,740885,pollinatedBy
82095,Lasioglossum,,57678,pollinatedBy
47126,Puccinia libanotidis,moon carrot rust,1006700,eats
47126,Allencyrtus monomorphus,,648648,eatenBy
47126,Marietta taeniola,,674166,eatenBy
47126,Viola pedatifida,Prairie Violet,170255,pollinates
47126,Aesculus glabra,Ohio buckeye,67790,pollinates
47126,Chamaecrista fasciculata,partridge pea,127907,pollinates
47126,Pycnanthemum pilosum,hairy mountainmint,153907,pollinates
47126,Zea mays,Maize,48448,pollinates
47126,Datura,devil's trumpets,48943,pollinates
47126,Galium boreale,Northern Bedstraw,77188,pollinates
47126,Apocynum androsaemifolium,spreading dogbane,47359,pollinates
47126,Monarda fistulosa,wild bergamot,85320,pollinates
47126,Oenothera fruticosa,Narrow-leaved Sundrops,129556,pollinates
47126,Polytaenia nuttallii,Prairie Parsley,156540,pollinates
47126,Verbena hastata,blue vervain,60251,pollinates
47126,Asclepias verticillata,whorled milkweed,125379,pollinates
47126,Viola sagittata,arrowleaf violet,170259,pollinates
47126,Phlox pilosa,prairie phlox,127020,pollinates
47126,Asparagus officinalis,wild asparagus,60265,pollinates
47126,Glechoma hederacea,ground-ivy,55830,pollinates
47126,Asclepias tuberosa,butterfly milkweed,47912,pollinates
47126,Prunus serotina,black cherry,54834,pollinates
47126,Taenidia integerrima,yellow pimpernel,130364,pollinates
47126,Fragaria virginiana,Virginia strawberry,77155,pollinates
47126,Melilotus albus,White Sweetclover,58907,pollinates
47126,Prunella vulgaris,common selfheal,52764,pollinates
47126,Portulaca oleracea,Common Purslane,58991,pollinates
47126,Potentilla,cinquefoils,53186,pollinates
47126,Populus tremuloides,trembling aspen,54840,pollinates
47126,Taraxacum officinale,common dandelion,47602,pollinates
47126,Nelumbo lutea,American lotus,84160,pollinates
47126,Nepeta cataria,Catnip,48622,pollinates
47126,Solidago canadensis,Canada goldenrod,67808,pollinates
47126,Poecilohetaerus,,377755,pollinatedBy
47126,Incurviseta,,896406,pollinatedBy
47126,Lasioglossum,,57678,pollinatedBy
47126,Musca vetustissima,,338075,pollinatedBy
47126,Dilophus,,247434,pollinatedBy
47126,Abronia maritima,red sand-verbena,75244,preysOn
47126,Littorina,Periwinkles,48919,preyedUponBy
47126,Katharina tunicata,Black Leather Chiton,47632,preyedUponBy
47126,Amphipoda,Amphipods,47628,preyedUponBy
47126,Lacuna,Common Marble,205971,preyedUponBy
47126,Synisoma,,623653,preyedUponBy
1204075,Dilachnus,,942316,eats
1204075,Formica sanguinea,sanguinea-group Field Ants,1095103,eatenBy
1204075,Microdon mutabilis,,486895,eatenBy
1204075,Linaria vulgaris,common toadflax,50790,pollinates
1204075,Sium suave,water parsnip,79131,pollinates
1204075,Sorbus,Rowans and Mountain Ashes,48582,pollinates
1204075,Campanula rotundifolia,Harebell,62312,pollinates
1204075,Vaccinium uliginosum,bog bilberry,64714,pollinates
1204075,Pilosella officinarum,mouse-eared hawkweed,402509,pollinates
1204075,secretions of Dilachnus pini,,,preysOn
1204075,Formica sanguinea,sanguinea-group Field Ants,1095103,preyedUponBy
1204075,Microdon mutabilis,,486895,preyedUponBy
119170,Phytolacca americana,American pokeweed,48599,eats
119170,Fraxinus,ashes,54806,eats
83157,Episyrphus balteatus,Marmalade Hover Fly,52482,pollinatedBy
83157,Ceratina japonica ,Japanese Small carpenter,559054,pollinatedBy
83157,Bombus,Bumble Bees,52775,pollinatedBy
83157,Lasioglossum,,57678,pollinatedBy
83157,,Speargrass moth,974709,pollinatedBy
83157,Andrena,,57669,pollinatedBy
83157,Apis mellifera,Western Honey Bee,47219,pollinatedBy
50278,Partheno quinquef,Virginia creeper,50278,eats
50278,Parthenocissus quinquefolia,Virginia creeper,50278,eats
50278,Aphis folsomii,,881232,eatenBy
50278,Polistes,Umbrella Paper Wasps,52756,pollinatedBy
50278,Chlorion,,119074,pollinatedBy
50278,Ectemnius,,130131,pollinatedBy
50278,Sayapis,,325491,pollinatedBy
50278,Tachytes,Sand-Loving Wasps,250753,pollinatedBy
50278,Mordella,,176923,pollinatedBy
50278,Bracon,Ichneumonid and Braconid Wasps,47200,pollinatedBy
50278,Melissodes,,571345,pollinatedBy
50278,Phytocoris,,178498,pollinatedBy
50278,Apoidea,Bees and Apoid Wasps,47222,pollinatedBy
50278,Vespula,Ground Yellowjackets,61356,pollinatedBy
47157,Geranium,geraniums and cranesbills,47701,eats
47157,Nemorilla pyste,,488277,eatenBy
47157,Tachinidae,Bristle Flies,51953,eatenBy
47157,Xanthophyto,,1203533,eatenBy
47157,Dibrachys,,250297,eatenBy
47157,Conura side,,264915,eatenBy
47157,Ipomopsis,Ipomopsises,52137,pollinates
47157,Tachytes,Sand-Loving Wasps,250753,pollinatedBy
47157,Megachile,"Leafcutter, Mortar, and Resin Bees",52784,pollinatedBy
47157,Syrphus ribesii,Common Flower Fly,52488,pollinatedBy
47157,Acmaeodera,,886834,pollinatedBy
47157,Melissodes,,571345,pollinatedBy
47157,Prionyx,,131029,pollinatedBy
47157,Andrena,,57669,pollinatedBy
47157,Sarcophaga,Common Flesh Flies,120489,pollinatedBy
47157,Polistes chinensis antennalis,,638589,preysOn
47157,Mormoops blainvillei,Antillean Ghost-faced Bat,74647,preyedUponBy
48484,Dinocampus coccinellae paralysis virus,,975824,eats
48484,Harmonia axyridis,Asian Lady Beetle,48484,eatenBy
48484,Reduviidae,Assassin Bugs,48959,eatenBy
48484,Passer italiae,Italian Sparrow,201233,eatenBy
48484,Tuberolachnus salignus,Giant Willow Aphid,354036,eatenBy
48484,Agalenatea redii,Gorse Orbweaver,121779,eatenBy
48484,Deutzia crenata,,337821,pollinates
48484,Veratrum,False Hellebores,60502,pollinates
48484,Phellodendron amurense,Amur Corktree,166636,pollinates
48484,Lepidoptera,Butterflies and Moths,47157,preysOn
48484,Syrphinae,Typical Hover Flies,186841,preysOn
48484,Aphididae,Aphids,52381,preysOn
48484,Harmonia axyridis,Asian Lady Beetle,48484,preysOn
48484,Aphis nerii,Oleander Aphid,71154,preysOn
48484,Geometridae,Geometer Moths,49530,preysOn
48484,Coccinellidae,Lady Beetles,48486,preysOn
48484,Tuberolachnus salignus,Giant Willow Aphid,354036,preysOn
48484,Chrysopidae,Green Lacewings,52425,preysOn
48484,Harmonia axyridis,Asian Lady Beetle,48484,preyedUponBy
48484,Reduviidae,Assassin Bugs,48959,preyedUponBy
48484,Passer italiae,Italian Sparrow,201233,preyedUponBy
48484,Tuberolachnus salignus,Giant Willow Aphid,354036,preyedUponBy
48484,Agalenatea redii,Gorse Orbweaver,121779,preyedUponBy
47538,Euonymus europaeu,Spindle,55847,eats
47538,Varieganecroscia sineocula sineocula,,747861,eatenBy
47538,,Speargrass moth,974709,pollinatedBy
47538,Lasioglossum,,57678,pollinatedBy
47538,Andrena aburana ,,573556,pollinatedBy
47538,Cheilosia,Blacklets,124483,pollinatedBy
47339,Polyergus sanwaldi,Sanwald's Amazon Ant,855571,eats
47339,Formica sanguinea,sanguinea-group Field Ants,1095103,eatenBy
47339,Microdon mutabilis,,486895,eatenBy
47339,Anethum graveolens,Dill,75445,pollinates
47339,Persicaria maculosa maculosa,spotted lady's thumb,56166,pollinates
47339,Polytaenia nuttallii,Prairie Parsley,156540,pollinates
47339,Pycnanthemum pilosum,hairy mountainmint,153907,pollinates
47339,Silphium integrifolium,prairie rosinweed,168993,pollinates
47339,Abraxas sylvata,Clouded Magpie,52429,preysOn
47339,Formica sanguinea,sanguinea-group Field Ants,1095103,preyedUponBy
47339,Microdon mutabilis,,486895,preyedUponBy
47602,Puccinia variabilis,Nipplewort Rust,511070,eats
47602,Puccinia dioicae,,501711,eats
47602,Microtus pennsylvanicus,Meadow Vole,44311,eatenBy
47602,Harpalus rufipes,Strawberry Seed Beetle,131099,eatenBy
47602,Pterostichus melanarius,Rain-beetle,131931,eatenBy
47602,Passer domesticus,House Sparrow,13858,eatenBy
47602,Hyalophora cecropia,Cecropia Moth,81582,eatenBy
47602,Eupithecia miserulata,Common Eupithecia Moth,143734,eatenBy
47602,Pyrrharctia isabella,Isabella Tiger Moth,59675,eatenBy
47602,Olibrus liquidus,,1085062,eatenBy
47602,Thrips,Thrips,83201,eatenBy
47602,Spinus psaltria,Lesser Goldfinch,145308,eatenBy
47602,Apis mellifera,Western Honey Bee,47219,eatenBy
47602,Caenohalictus,,252448,eatenBy
47602,Syrphidae,Hover Flies,49995,eatenBy
47602,Aphis gossypii,Melon Aphid,309466,eatenBy
47602,Bombus impatiens,Common Eastern Bumble Bee,118970,eatenBy
47602,Pieris rapae,Cabbage White,55626,eatenBy
47602,Toxomerus marginatus,Margined Calligrapher,126889,eatenBy
47602,Puccinia dioicae,,501711,eatenBy
47602,Bombus terricola,Yellow-banded Bumble Bee,121517,eatenBy
47602,Bombus perplexus,Perplexing Bumble Bee,155085,eatenBy
47602,Halictus rubicundus,Orange-legged Furrow Bee,127747,eatenBy
47602,Nymphalis antiopa,Mourning Cloak,56832,eatenBy
47602,Xylocopa virginica,Eastern Carpenter Bee,51110,eatenBy
47602,Diabrotica undecimpunctata,Spotted Cucumber Beetle,55487,eatenBy
47602,Xylocopa sonorina,Valley Carpenter Bee,244216,eatenBy
47602,Dialictus,Metallic Sweat Bees,126545,eatenBy
47602,Bombus vosnesenskii,Yellow-faced Bumble Bee,57689,eatenBy
47602,Zadontomerus,,468067,eatenBy
47602,Polistes dominula,European Paper Wasp,84640,eatenBy
47602,Agapostemon texanus,Texas Striped Sweat Bee,133797,eatenBy
47602,Bombus,Bumble Bees,52775,eatenBy
47602,Hylephila phyleus,Fiery Skipper,50340,eatenBy
47602,Allograpta obliqua,Oblique Streaktail,118968,eatenBy
47602,Eupeodes fumipennis,Western Aphideater,493594,eatenBy
47602,Toxomerus geminatus,Eastern Calligrapher,126532,eatenBy
47602,Lycaena phlaeas,Small Copper,55655,eatenBy
47602,Phyciodes mylitta,Mylitta Crescent,59176,eatenBy
47602,Bombus bimaculatus,Two-spotted Bumble Bee,52779,eatenBy
47602,Vanessa atalanta,Red Admiral,49133,eatenBy
47602,Bombus melanopygus,Black-tailed Bumble Bee,130222,eatenBy
47602,Danaus plexippus,Monarch,48662,eatenBy
47602,Ursus americanus,American Black Bear,41638,eatenBy
47602,Euphydryas chalcedona,Variable Checkerspot,50892,eatenBy
47602,Osmia,Mason Bees,57674,eatenBy
47602,Meleagris gallopavo,Wild Turkey,906,eatenBy
47602,Tyrannus tyrannus,Eastern Kingbird,16782,eatenBy
47602,Phormia regina,Black Blow Fly,449683,pollinatedBy
47602,Coccinella novemnotata,Nine-spotted Lady Beetle,136563,pollinatedBy
47602,Prosopis,mesquites,48060,pollinatedBy
47602,Phor,asphodels,71400,pollinatedBy
47602,Apis mellifera,Western Honey Bee,47219,pollinatedBy
47602,Episyrphus balteatus,Marmalade Hover Fly,52482,pollinatedBy
47602,Andrena,,57669,pollinatedBy
47602,Halictus,Furrow Bees,57677,pollinatedBy
47602,Osmia,Mason Bees,57674,pollinatedBy
47602,Agapostemon,Striped Sweat Bees,50086,pollinatedBy
47602,Tachinidae,Bristle Flies,51953,pollinatedBy
47602,Diptera,Flies,47822,pollinatedBy
47602,Bombyliidae,Bee Flies,51558,pollinatedBy
47602,Syrphidae,Hover Flies,49995,pollinatedBy
47602,Lepidoptera,Butterflies and Moths,47157,pollinatedBy
47602,Eublemma,,121922,pollinatedBy
47602,Aeolothrips intermedius,,987111,preyedUponBy
47602,Cantharis lateralis,,360296,preyedUponBy
48486,Carex acutiformis,lesser pond sedge,159858,eats
48486,Carex,true sedges,48571,eats
48486,Crataegus monogyna,common hawthorn,51147,eats
48486,Prunus spinosa,Blackthorn,55811,eats
48486,Bubulcus ibis,Cattle Egret,5017,eatenBy
48486,Chenopodium leptophyllum,Narrowleaf Goosefoot,76278,pollinates
48486,Prosopis glandulosa,honey mesquite,58160,pollinates
48486,Sagittaria longiloba,Longbarb Arrowhead,78926,pollinates
48486,Micraspis frenata,Striped Ladybird,334609,pollinatedBy
48486,Acari,Mites and Ticks,52788,preysOn
48486,Aphidoidea,,52380,preysOn
48486,Arytainilla spartiophila,Broom psyllid,207562,preysOn
48486,Arytaina genistae,Broom Psyllid,318779,preysOn
48486,Aphis,,55215,preysOn
48486,Mangora acalypha,Cricket-bat Orbweaver,319548,preyedUponBy
48486,Notiophilus aquaticus,,226010,preyedUponBy
48486,Xysticus ulmi,Swamp Crab Spider,496641,preyedUponBy
48486,Allagelena gracilens,,496243,preyedUponBy
48486,Synema globosum,Napoleon Spider,245656,preyedUponBy
48486,Agalenatea redii,Gorse Orbweaver,121779,preyedUponBy
51954,Cicadoidea,Cicadas,50190,eats
51954,Neotibicen,Dog-day Cicadas,751082,eats
51954,Cicadidae,Typical Cicadas,50186,eats
51954,Cicadoidea,Cicadas,50190,preysOn
51954,Neotibicen,Dog-day Cicadas,751082,preysOn
51954,Cicadidae,Typical Cicadas,50186,preysOn
46017,Aves,Birds,3,eats
46017,Mammalia,Mammals,40151,eats
46017,Insecta,Insects,47158,eats
46017,Fungi,Fungi Including Lichens,47170,eats
46017,Corylus avellana,common hazel,54491,eats
46017,Russula,brittlegills,48339,eats
46017,Acer,maples,47727,eats
46017,Pinaceae,pine family,47562,eats
46017,Avena,Oats,52697,eats
46017,Cicadoidea,Cicadas,50190,eats
46017,Quercus agrifolia,coast live oak,47850,eats
46017,Amelanchier,serviceberries,49230,eats
46017,Acer saccharinum,silver maple,54762,eats
46017,Acer rubrum,red maple,48098,eats
46017,Quercus,oaks,47851,eats
46017,Sciurus carolinensis,Eastern Gray Squirrel,46017,eats
46017,Juglans,Walnuts,54495,eats
46017,Arecaceae,palms,48867,eats
46017,Agaricales,Common Gilled Mushrooms and Allies,47167,eats
46017,Plantae,plants,47126,eats
46017,Bos taurus,Domestic Cattle,74113,eats
46017,Iris,Irises,47780,eats
46017,Life,,48460,eats
46017,Pinus,pines,47561,eats
46017,Basidiomycota,Basidiomycete Fungi,47169,eats
46017,Helianthus annuus,Common Sunflower,57983,eats
46017,Magnoliopsida,dicots,47124,eats
46017,Agelaius phoeniceus,Red-winged Blackbird,9744,eats
46017,Sorghum bicolor,Sorghum,58389,eats
46017,Rosa,roses,53438,eats
46017,Heteromeles arbutifolia,Toyon,53405,eats
46017,Malus domestica,apple,469472,eats
46017,Juglans hindsii,northern California black walnut,54502,eats
46017,Rubus idaeus,European raspberry,54436,eats
46017,Canis latrans,Coyote,42051,eatenBy
46017,Lynx rufus,Bobcat,41976,eatenBy
46017,Vulpes vulpes,Red Fox,42069,eatenBy
46017,Mustela,,41801,eatenBy
46017,Buteo jamaicensis,Red-tailed Hawk,5212,eatenBy
46017,Sciurus carolinensis,Eastern Gray Squirrel,46017,eatenBy
46017,Poecile atricapillus,Black-capped Chickadee,144815,eatenBy
46017,Buteo platypterus,Broad-winged Hawk,5227,eatenBy
46017,Cathartes aura,Turkey Vulture,4756,eatenBy
46017,Accipiter cooperii,Cooper's Hawk,5112,eatenBy
46017,Bubo virginianus,Great Horned Owl,20044,eatenBy
46017,Strix varia,Barred Owl,19893,eatenBy
46017,Buteo lineatus,Red-shouldered Hawk,5206,eatenBy
46017,Megascops asio,Eastern Screech-Owl,19765,eatenBy
46017,Haliaeetus leucocephalus,Bald Eagle,5305,eatenBy
46017,Trichostema dichotomum,Blue Curls,127634,preysOn
46017,Sciurus carolinensis,Eastern Gray Squirrel,46017,preysOn
46017,Acer negundo,boxelder,47726,preysOn
46017,Buteo jamaicensis,Red-tailed Hawk,5212,preyedUponBy
46017,Strix varia,Barred Owl,19893,preyedUponBy
46017,Haliaeetus leucocephalus,Bald Eagle,5305,preyedUponBy
46017,Aves,Birds,3,preyedUponBy
46017,Accipiter cooperii,Cooper's Hawk,5112,preyedUponBy
46017,Vulpes vulpes,Red Fox,42069,preyedUponBy
46017,Lynx rufus,Bobcat,41976,preyedUponBy
46017,Pantherophis obsoletus,Western Ratsnake,73888,preyedUponBy
46017,Pantherophis alleghaniensis,Eastern/Gray Ratsnake Complex,857190,preyedUponBy
46017,Sciurus carolinensis,Eastern Gray Squirrel,46017,preyedUponBy
78882,Rosa multiflo,multiflora rose,78882,eats
78882,Megastigmus aculeatus,Rose Hip Chalcidoid Wasp,319502,eatenBy
78882,Anagrus atomus,,385562,eatenBy
78882,Hylaeus,Masked Bees,127812,pollinatedBy
78882,Andrena,,57669,pollinatedBy
78882,Lasioglossum,,57678,pollinatedBy
47213,Solanum lycopersicum,tomato,51737,eats
47213,Agave,century plants,50822,pollinates
47213,Erythranthe cardinalis,scarlet monkeyflower,319974,pollinatedBy
47213,Camellia,camellia family,71645,preysOn
47213,Corvus brachyrhynchos,American Crow,8021,preyedUponBy
47213,Tyrannus forficatus,Scissor-tailed Flycatcher,16783,preyedUponBy
47213,Geococcyx californianus,Greater Roadrunner,1986,preyedUponBy
47213,Turdus migratorius,American Robin,12727,preyedUponBy
47222,Arctostaphylos,bearberries and manzanitas,47179,eats
47222,Melittobia acasta,,392377,eatenBy
47222,Melittobia hawaiiensis,,449426,eatenBy
47222,Medicago,medics,53152,pollinates
47222,Camponotus,Carpenter Ants,62781,pollinatedBy
47222,Tabanidae,Horse and Deer Flies,47821,preysOn
47222,Synema globosum,Napoleon Spider,245656,preyedUponBy
47222,Sceloporus occidentalis,Western Fence Lizard,36204,preyedUponBy
